Operand1,Operand2,Answer,DistractorAnswer,OnesDigitPair,sentence
68,53,121,111,8+3,Question: What is 68 + 53? Answer:
91,74,165,175,1+4,Question: What is 91 + 74? Answer:
64,20,84,94,4+0,Question: What is 64 + 20? Answer:
11,15,26,36,1+5,Question: What is 11 + 15? Answer:
10,47,57,67,0+7,Question: What is 10 + 47? Answer:
40,36,76,86,0+6,Question: What is 40 + 36? Answer:
21,73,94,104,1+3,Question: What is 21 + 73? Answer:
40,87,127,137,0+7,Question: What is 40 + 87? Answer:
22,71,93,103,2+1,Question: What is 22 + 71? Answer:
84,24,108,118,4+4,Question: What is 84 + 24? Answer:
44,77,121,111,4+7,Question: What is 44 + 77? Answer:
19,38,57,47,9+8,Question: What is 19 + 38? Answer:
94,70,164,174,4+0,Question: What is 94 + 70? Answer:
13,90,103,113,3+0,Question: What is 13 + 90? Answer:
64,67,131,121,4+7,Question: What is 64 + 67? Answer:
99,61,160,150,9+1,Question: What is 99 + 61? Answer:
69,22,91,81,9+2,Question: What is 69 + 22? Answer:
21,26,47,57,1+6,Question: What is 21 + 26? Answer:
32,89,121,111,2+9,Question: What is 32 + 89? Answer:
26,46,72,62,6+6,Question: What is 26 + 46? Answer:
22,19,41,31,2+9,Question: What is 22 + 19? Answer:
42,34,76,86,2+4,Question: What is 42 + 34? Answer:
29,92,121,111,9+2,Question: What is 29 + 92? Answer:
96,29,125,115,6+9,Question: What is 96 + 29? Answer:
88,30,118,128,8+0,Question: What is 88 + 30? Answer:
65,67,132,122,5+7,Question: What is 65 + 67? Answer:
53,30,83,93,3+0,Question: What is 53 + 30? Answer:
36,99,135,125,6+9,Question: What is 36 + 99? Answer:
58,94,152,142,8+4,Question: What is 58 + 94? Answer:
95,52,147,157,5+2,Question: What is 95 + 52? Answer:
88,76,164,154,8+6,Question: What is 88 + 76? Answer:
10,64,74,84,0+4,Question: What is 10 + 64? Answer:
27,72,99,109,7+2,Question: What is 27 + 72? Answer:
22,81,103,113,2+1,Question: What is 22 + 81? Answer:
77,34,111,101,7+4,Question: What is 77 + 34? Answer:
58,75,133,123,8+5,Question: What is 58 + 75? Answer:
57,22,79,89,7+2,Question: What is 57 + 22? Answer:
11,64,75,85,1+4,Question: What is 11 + 64? Answer:
96,55,151,141,6+5,Question: What is 96 + 55? Answer:
59,16,75,65,9+6,Question: What is 59 + 16? Answer:
84,17,101,91,4+7,Question: What is 84 + 17? Answer:
35,40,75,85,5+0,Question: What is 35 + 40? Answer:
99,49,148,138,9+9,Question: What is 99 + 49? Answer:
45,40,85,95,5+0,Question: What is 45 + 40? Answer:
76,21,97,107,6+1,Question: What is 76 + 21? Answer:
84,81,165,175,4+1,Question: What is 84 + 81? Answer:
47,19,66,56,7+9,Question: What is 47 + 19? Answer:
74,25,99,109,4+5,Question: What is 74 + 25? Answer:
73,27,100,90,3+7,Question: What is 73 + 27? Answer:
62,73,135,145,2+3,Question: What is 62 + 73? Answer:
60,94,154,164,0+4,Question: What is 60 + 94? Answer:
47,69,116,106,7+9,Question: What is 47 + 69? Answer:
90,70,160,170,0+0,Question: What is 90 + 70? Answer:
34,88,122,112,4+8,Question: What is 34 + 88? Answer:
11,70,81,91,1+0,Question: What is 11 + 70? Answer:
89,39,128,118,9+9,Question: What is 89 + 39? Answer:
25,60,85,95,5+0,Question: What is 25 + 60? Answer:
10,75,85,95,0+5,Question: What is 10 + 75? Answer:
32,37,69,79,2+7,Question: What is 32 + 37? Answer:
71,79,150,140,1+9,Question: What is 71 + 79? Answer:
85,33,118,128,5+3,Question: What is 85 + 33? Answer:
84,48,132,122,4+8,Question: What is 84 + 48? Answer:
85,98,183,173,5+8,Question: What is 85 + 98? Answer:
90,63,153,163,0+3,Question: What is 90 + 63? Answer:
78,90,168,178,8+0,Question: What is 78 + 90? Answer:
11,12,23,33,1+2,Question: What is 11 + 12? Answer:
34,48,82,72,4+8,Question: What is 34 + 48? Answer:
16,93,109,119,6+3,Question: What is 16 + 93? Answer:
31,60,91,101,1+0,Question: What is 31 + 60? Answer:
17,10,27,37,7+0,Question: What is 17 + 10? Answer:
51,86,137,147,1+6,Question: What is 51 + 86? Answer:
85,80,165,175,5+0,Question: What is 85 + 80? Answer:
57,23,80,70,7+3,Question: What is 57 + 23? Answer:
26,75,101,91,6+5,Question: What is 26 + 75? Answer:
13,10,23,33,3+0,Question: What is 13 + 10? Answer:
41,79,120,110,1+9,Question: What is 41 + 79? Answer:
60,47,107,117,0+7,Question: What is 60 + 47? Answer:
95,28,123,113,5+8,Question: What is 95 + 28? Answer:
53,92,145,155,3+2,Question: What is 53 + 92? Answer:
91,61,152,162,1+1,Question: What is 91 + 61? Answer:
95,37,132,122,5+7,Question: What is 95 + 37? Answer:
79,60,139,149,9+0,Question: What is 79 + 60? Answer:
73,92,165,175,3+2,Question: What is 73 + 92? Answer:
47,90,137,147,7+0,Question: What is 47 + 90? Answer:
31,49,80,70,1+9,Question: What is 31 + 49? Answer:
18,84,102,92,8+4,Question: What is 18 + 84? Answer:
69,15,84,74,9+5,Question: What is 69 + 15? Answer:
47,42,89,99,7+2,Question: What is 47 + 42? Answer:
27,61,88,98,7+1,Question: What is 27 + 61? Answer:
25,25,50,40,5+5,Question: What is 25 + 25? Answer:
21,58,79,89,1+8,Question: What is 21 + 58? Answer:
82,55,137,147,2+5,Question: What is 82 + 55? Answer:
99,62,161,151,9+2,Question: What is 99 + 62? Answer:
79,49,128,118,9+9,Question: What is 79 + 49? Answer:
20,78,98,108,0+8,Question: What is 20 + 78? Answer:
83,40,123,133,3+0,Question: What is 83 + 40? Answer:
71,16,87,97,1+6,Question: What is 71 + 16? Answer:
24,26,50,40,4+6,Question: What is 24 + 26? Answer:
87,52,139,149,7+2,Question: What is 87 + 52? Answer:
74,31,105,115,4+1,Question: What is 74 + 31? Answer:
50,85,135,145,0+5,Question: What is 50 + 85? Answer:
60,83,143,153,0+3,Question: What is 60 + 83? Answer:
82,74,156,166,2+4,Question: What is 82 + 74? Answer:
49,97,146,136,9+7,Question: What is 49 + 97? Answer:
35,38,73,63,5+8,Question: What is 35 + 38? Answer:
79,42,121,111,9+2,Question: What is 79 + 42? Answer:
56,80,136,146,6+0,Question: What is 56 + 80? Answer:
47,44,91,81,7+4,Question: What is 47 + 44? Answer:
83,21,104,114,3+1,Question: What is 83 + 21? Answer:
17,55,72,62,7+5,Question: What is 17 + 55? Answer:
62,92,154,164,2+2,Question: What is 62 + 92? Answer:
13,51,64,74,3+1,Question: What is 13 + 51? Answer:
76,95,171,161,6+5,Question: What is 76 + 95? Answer:
56,70,126,136,6+0,Question: What is 56 + 70? Answer:
79,14,93,83,9+4,Question: What is 79 + 14? Answer:
46,97,143,133,6+7,Question: What is 46 + 97? Answer:
55,32,87,97,5+2,Question: What is 55 + 32? Answer:
96,23,119,129,6+3,Question: What is 96 + 23? Answer:
95,81,176,186,5+1,Question: What is 95 + 81? Answer:
55,39,94,84,5+9,Question: What is 55 + 39? Answer:
23,22,45,55,3+2,Question: What is 23 + 22? Answer:
22,83,105,115,2+3,Question: What is 22 + 83? Answer:
97,95,192,182,7+5,Question: What is 97 + 95? Answer:
98,83,181,171,8+3,Question: What is 98 + 83? Answer:
66,72,138,148,6+2,Question: What is 66 + 72? Answer:
57,53,110,100,7+3,Question: What is 57 + 53? Answer:
76,77,153,143,6+7,Question: What is 76 + 77? Answer:
92,95,187,197,2+5,Question: What is 92 + 95? Answer:
70,60,130,140,0+0,Question: What is 70 + 60? Answer:
34,52,86,96,4+2,Question: What is 34 + 52? Answer:
33,29,62,52,3+9,Question: What is 33 + 29? Answer:
79,81,160,150,9+1,Question: What is 79 + 81? Answer:
51,48,99,109,1+8,Question: What is 51 + 48? Answer:
33,82,115,125,3+2,Question: What is 33 + 82? Answer:
42,79,121,111,2+9,Question: What is 42 + 79? Answer:
90,69,159,169,0+9,Question: What is 90 + 69? Answer:
83,96,179,189,3+6,Question: What is 83 + 96? Answer:
50,29,79,89,0+9,Question: What is 50 + 29? Answer:
38,47,85,75,8+7,Question: What is 38 + 47? Answer:
50,79,129,139,0+9,Question: What is 50 + 79? Answer:
23,20,43,53,3+0,Question: What is 23 + 20? Answer:
83,67,150,140,3+7,Question: What is 83 + 67? Answer:
84,50,134,144,4+0,Question: What is 84 + 50? Answer:
54,82,136,146,4+2,Question: What is 54 + 82? Answer:
28,66,94,84,8+6,Question: What is 28 + 66? Answer:
17,14,31,21,7+4,Question: What is 17 + 14? Answer:
97,66,163,153,7+6,Question: What is 97 + 66? Answer:
85,82,167,177,5+2,Question: What is 85 + 82? Answer:
97,31,128,138,7+1,Question: What is 97 + 31? Answer:
65,68,133,123,5+8,Question: What is 65 + 68? Answer:
46,21,67,77,6+1,Question: What is 46 + 21? Answer:
84,85,169,179,4+5,Question: What is 84 + 85? Answer:
66,59,125,115,6+9,Question: What is 66 + 59? Answer:
78,86,164,154,8+6,Question: What is 78 + 86? Answer:
90,78,168,178,0+8,Question: What is 90 + 78? Answer:
12,32,44,54,2+2,Question: What is 12 + 32? Answer:
93,90,183,193,3+0,Question: What is 93 + 90? Answer:
75,89,164,154,5+9,Question: What is 75 + 89? Answer:
77,47,124,114,7+7,Question: What is 77 + 47? Answer:
31,12,43,53,1+2,Question: What is 31 + 12? Answer:
83,16,99,109,3+6,Question: What is 83 + 16? Answer:
65,80,145,155,5+0,Question: What is 65 + 80? Answer:
89,13,102,92,9+3,Question: What is 89 + 13? Answer:
20,76,96,106,0+6,Question: What is 20 + 76? Answer:
70,38,108,118,0+8,Question: What is 70 + 38? Answer:
85,85,170,160,5+5,Question: What is 85 + 85? Answer:
17,90,107,117,7+0,Question: What is 17 + 90? Answer:
31,24,55,65,1+4,Question: What is 31 + 24? Answer:
27,99,126,116,7+9,Question: What is 27 + 99? Answer:
70,41,111,121,0+1,Question: What is 70 + 41? Answer:
87,26,113,103,7+6,Question: What is 87 + 26? Answer:
23,26,49,59,3+6,Question: What is 23 + 26? Answer:
77,71,148,158,7+1,Question: What is 77 + 71? Answer:
28,73,101,91,8+3,Question: What is 28 + 73? Answer:
21,90,111,121,1+0,Question: What is 21 + 90? Answer:
60,55,115,125,0+5,Question: What is 60 + 55? Answer:
35,46,81,71,5+6,Question: What is 35 + 46? Answer:
94,66,160,150,4+6,Question: What is 94 + 66? Answer:
97,38,135,125,7+8,Question: What is 97 + 38? Answer:
21,91,112,122,1+1,Question: What is 21 + 91? Answer:
30,23,53,63,0+3,Question: What is 30 + 23? Answer:
33,25,58,68,3+5,Question: What is 33 + 25? Answer:
98,26,124,114,8+6,Question: What is 98 + 26? Answer:
40,87,127,137,0+7,Question: What is 40 + 87? Answer:
91,39,130,120,1+9,Question: What is 91 + 39? Answer:
40,67,107,117,0+7,Question: What is 40 + 67? Answer:
25,53,78,88,5+3,Question: What is 25 + 53? Answer:
91,66,157,167,1+6,Question: What is 91 + 66? Answer:
45,16,61,51,5+6,Question: What is 45 + 16? Answer:
35,81,116,126,5+1,Question: What is 35 + 81? Answer:
23,51,74,84,3+1,Question: What is 23 + 51? Answer:
69,20,89,99,9+0,Question: What is 69 + 20? Answer:
90,16,106,116,0+6,Question: What is 90 + 16? Answer:
58,18,76,66,8+8,Question: What is 58 + 18? Answer:
27,12,39,49,7+2,Question: What is 27 + 12? Answer:
12,93,105,115,2+3,Question: What is 12 + 93? Answer:
33,56,89,99,3+6,Question: What is 33 + 56? Answer:
33,82,115,125,3+2,Question: What is 33 + 82? Answer:
40,82,122,132,0+2,Question: What is 40 + 82? Answer:
23,14,37,47,3+4,Question: What is 23 + 14? Answer:
90,32,122,132,0+2,Question: What is 90 + 32? Answer:
30,16,46,56,0+6,Question: What is 30 + 16? Answer:
97,52,149,159,7+2,Question: What is 97 + 52? Answer:
39,77,116,106,9+7,Question: What is 39 + 77? Answer:
66,48,114,104,6+8,Question: What is 66 + 48? Answer:
61,75,136,146,1+5,Question: What is 61 + 75? Answer:
56,91,147,157,6+1,Question: What is 56 + 91? Answer:
67,87,154,144,7+7,Question: What is 67 + 87? Answer:
35,49,84,74,5+9,Question: What is 35 + 49? Answer:
64,71,135,145,4+1,Question: What is 64 + 71? Answer:
62,77,139,149,2+7,Question: What is 62 + 77? Answer:
21,30,51,61,1+0,Question: What is 21 + 30? Answer:
34,10,44,54,4+0,Question: What is 34 + 10? Answer:
37,40,77,87,7+0,Question: What is 37 + 40? Answer:
33,24,57,67,3+4,Question: What is 33 + 24? Answer:
50,31,81,91,0+1,Question: What is 50 + 31? Answer:
64,87,151,141,4+7,Question: What is 64 + 87? Answer:
79,84,163,153,9+4,Question: What is 79 + 84? Answer:
12,88,100,90,2+8,Question: What is 12 + 88? Answer:
51,52,103,113,1+2,Question: What is 51 + 52? Answer:
48,75,123,113,8+5,Question: What is 48 + 75? Answer:
22,92,114,124,2+2,Question: What is 22 + 92? Answer:
81,19,100,90,1+9,Question: What is 81 + 19? Answer:
73,25,98,108,3+5,Question: What is 73 + 25? Answer:
93,69,162,152,3+9,Question: What is 93 + 69? Answer:
10,39,49,59,0+9,Question: What is 10 + 39? Answer:
36,45,81,71,6+5,Question: What is 36 + 45? Answer:
14,95,109,119,4+5,Question: What is 14 + 95? Answer:
45,94,139,149,5+4,Question: What is 45 + 94? Answer:
43,53,96,106,3+3,Question: What is 43 + 53? Answer:
91,15,106,116,1+5,Question: What is 91 + 15? Answer:
98,75,173,163,8+5,Question: What is 98 + 75? Answer:
20,35,55,65,0+5,Question: What is 20 + 35? Answer:
29,62,91,81,9+2,Question: What is 29 + 62? Answer:
30,43,73,83,0+3,Question: What is 30 + 43? Answer:
36,73,109,119,6+3,Question: What is 36 + 73? Answer:
15,65,80,70,5+5,Question: What is 15 + 65? Answer:
78,11,89,99,8+1,Question: What is 78 + 11? Answer:
78,13,91,81,8+3,Question: What is 78 + 13? Answer:
68,88,156,146,8+8,Question: What is 68 + 88? Answer:
84,28,112,102,4+8,Question: What is 84 + 28? Answer:
98,61,159,169,8+1,Question: What is 98 + 61? Answer:
51,34,85,95,1+4,Question: What is 51 + 34? Answer:
52,72,124,134,2+2,Question: What is 52 + 72? Answer:
65,67,132,122,5+7,Question: What is 65 + 67? Answer:
90,80,170,180,0+0,Question: What is 90 + 80? Answer:
42,28,70,60,2+8,Question: What is 42 + 28? Answer:
80,89,169,179,0+9,Question: What is 80 + 89? Answer:
84,86,170,160,4+6,Question: What is 84 + 86? Answer:
79,76,155,145,9+6,Question: What is 79 + 76? Answer:
12,35,47,57,2+5,Question: What is 12 + 35? Answer:
22,62,84,94,2+2,Question: What is 22 + 62? Answer:
56,42,98,108,6+2,Question: What is 56 + 42? Answer:
50,70,120,130,0+0,Question: What is 50 + 70? Answer:
97,93,190,180,7+3,Question: What is 97 + 93? Answer:
23,83,106,116,3+3,Question: What is 23 + 83? Answer:
80,18,98,108,0+8,Question: What is 80 + 18? Answer:
58,25,83,73,8+5,Question: What is 58 + 25? Answer:
65,89,154,144,5+9,Question: What is 65 + 89? Answer:
99,36,135,125,9+6,Question: What is 99 + 36? Answer:
52,19,71,61,2+9,Question: What is 52 + 19? Answer:
24,53,77,87,4+3,Question: What is 24 + 53? Answer:
63,78,141,131,3+8,Question: What is 63 + 78? Answer:
15,48,63,53,5+8,Question: What is 15 + 48? Answer:
48,57,105,95,8+7,Question: What is 48 + 57? Answer:
62,16,78,88,2+6,Question: What is 62 + 16? Answer:
49,51,100,90,9+1,Question: What is 49 + 51? Answer:
35,84,119,129,5+4,Question: What is 35 + 84? Answer:
48,87,135,125,8+7,Question: What is 48 + 87? Answer:
66,18,84,74,6+8,Question: What is 66 + 18? Answer:
14,26,40,30,4+6,Question: What is 14 + 26? Answer:
46,91,137,147,6+1,Question: What is 46 + 91? Answer:
87,97,184,174,7+7,Question: What is 87 + 97? Answer:
93,58,151,141,3+8,Question: What is 93 + 58? Answer:
56,34,90,80,6+4,Question: What is 56 + 34? Answer:
33,37,70,60,3+7,Question: What is 33 + 37? Answer:
88,57,145,135,8+7,Question: What is 88 + 57? Answer:
75,28,103,93,5+8,Question: What is 75 + 28? Answer:
68,89,157,147,8+9,Question: What is 68 + 89? Answer:
53,22,75,85,3+2,Question: What is 53 + 22? Answer:
54,72,126,136,4+2,Question: What is 54 + 72? Answer:
83,85,168,178,3+5,Question: What is 83 + 85? Answer:
17,70,87,97,7+0,Question: What is 17 + 70? Answer:
67,23,90,80,7+3,Question: What is 67 + 23? Answer:
14,92,106,116,4+2,Question: What is 14 + 92? Answer:
42,41,83,93,2+1,Question: What is 42 + 41? Answer:
31,43,74,84,1+3,Question: What is 31 + 43? Answer:
73,73,146,156,3+3,Question: What is 73 + 73? Answer:
13,94,107,117,3+4,Question: What is 13 + 94? Answer:
14,29,43,33,4+9,Question: What is 14 + 29? Answer:
59,13,72,62,9+3,Question: What is 59 + 13? Answer:
61,99,160,150,1+9,Question: What is 61 + 99? Answer:
76,74,150,140,6+4,Question: What is 76 + 74? Answer:
36,94,130,120,6+4,Question: What is 36 + 94? Answer:
86,31,117,127,6+1,Question: What is 86 + 31? Answer:
24,77,101,91,4+7,Question: What is 24 + 77? Answer:
46,40,86,96,6+0,Question: What is 46 + 40? Answer:
66,12,78,88,6+2,Question: What is 66 + 12? Answer:
10,35,45,55,0+5,Question: What is 10 + 35? Answer:
44,81,125,135,4+1,Question: What is 44 + 81? Answer:
46,88,134,124,6+8,Question: What is 46 + 88? Answer:
43,25,68,78,3+5,Question: What is 43 + 25? Answer:
90,16,106,116,0+6,Question: What is 90 + 16? Answer:
92,53,145,155,2+3,Question: What is 92 + 53? Answer:
87,36,123,113,7+6,Question: What is 87 + 36? Answer:
74,54,128,138,4+4,Question: What is 74 + 54? Answer:
39,71,110,100,9+1,Question: What is 39 + 71? Answer:
95,61,156,166,5+1,Question: What is 95 + 61? Answer:
50,44,94,104,0+4,Question: What is 50 + 44? Answer:
19,26,45,35,9+6,Question: What is 19 + 26? Answer:
21,47,68,78,1+7,Question: What is 21 + 47? Answer:
24,44,68,78,4+4,Question: What is 24 + 44? Answer:
32,72,104,114,2+2,Question: What is 32 + 72? Answer:
34,64,98,108,4+4,Question: What is 34 + 64? Answer:
26,36,62,52,6+6,Question: What is 26 + 36? Answer:
45,42,87,97,5+2,Question: What is 45 + 42? Answer:
26,82,108,118,6+2,Question: What is 26 + 82? Answer:
55,78,133,123,5+8,Question: What is 55 + 78? Answer:
94,94,188,198,4+4,Question: What is 94 + 94? Answer:
31,79,110,100,1+9,Question: What is 31 + 79? Answer:
21,17,38,48,1+7,Question: What is 21 + 17? Answer:
79,33,112,102,9+3,Question: What is 79 + 33? Answer:
68,78,146,136,8+8,Question: What is 68 + 78? Answer:
14,62,76,86,4+2,Question: What is 14 + 62? Answer:
28,74,102,92,8+4,Question: What is 28 + 74? Answer:
20,45,65,75,0+5,Question: What is 20 + 45? Answer:
65,73,138,148,5+3,Question: What is 65 + 73? Answer:
78,17,95,85,8+7,Question: What is 78 + 17? Answer:
95,81,176,186,5+1,Question: What is 95 + 81? Answer:
63,44,107,117,3+4,Question: What is 63 + 44? Answer:
56,36,92,82,6+6,Question: What is 56 + 36? Answer:
69,30,99,109,9+0,Question: What is 69 + 30? Answer:
25,35,60,50,5+5,Question: What is 25 + 35? Answer:
23,67,90,80,3+7,Question: What is 23 + 67? Answer:
89,99,188,178,9+9,Question: What is 89 + 99? Answer:
54,83,137,147,4+3,Question: What is 54 + 83? Answer:
54,69,123,113,4+9,Question: What is 54 + 69? Answer:
17,30,47,57,7+0,Question: What is 17 + 30? Answer:
66,25,91,81,6+5,Question: What is 66 + 25? Answer:
86,76,162,152,6+6,Question: What is 86 + 76? Answer:
31,32,63,73,1+2,Question: What is 31 + 32? Answer:
94,47,141,131,4+7,Question: What is 94 + 47? Answer:
81,15,96,106,1+5,Question: What is 81 + 15? Answer:
81,66,147,157,1+6,Question: What is 81 + 66? Answer:
81,53,134,144,1+3,Question: What is 81 + 53? Answer:
33,22,55,65,3+2,Question: What is 33 + 22? Answer:
59,67,126,116,9+7,Question: What is 59 + 67? Answer:
99,97,196,186,9+7,Question: What is 99 + 97? Answer:
38,70,108,118,8+0,Question: What is 38 + 70? Answer:
52,53,105,115,2+3,Question: What is 52 + 53? Answer:
19,76,95,85,9+6,Question: What is 19 + 76? Answer:
96,60,156,166,6+0,Question: What is 96 + 60? Answer:
65,67,132,122,5+7,Question: What is 65 + 67? Answer:
42,95,137,147,2+5,Question: What is 42 + 95? Answer:
71,14,85,95,1+4,Question: What is 71 + 14? Answer:
85,97,182,172,5+7,Question: What is 85 + 97? Answer:
44,49,93,83,4+9,Question: What is 44 + 49? Answer:
95,79,174,164,5+9,Question: What is 95 + 79? Answer:
84,49,133,123,4+9,Question: What is 84 + 49? Answer:
14,34,48,58,4+4,Question: What is 14 + 34? Answer:
61,95,156,166,1+5,Question: What is 61 + 95? Answer:
34,26,60,50,4+6,Question: What is 34 + 26? Answer:
52,14,66,76,2+4,Question: What is 52 + 14? Answer:
26,79,105,95,6+9,Question: What is 26 + 79? Answer:
95,74,169,179,5+4,Question: What is 95 + 74? Answer:
97,21,118,128,7+1,Question: What is 97 + 21? Answer:
27,97,124,114,7+7,Question: What is 27 + 97? Answer:
36,36,72,62,6+6,Question: What is 36 + 36? Answer:
57,49,106,96,7+9,Question: What is 57 + 49? Answer:
79,88,167,157,9+8,Question: What is 79 + 88? Answer:
86,47,133,123,6+7,Question: What is 86 + 47? Answer:
20,24,44,54,0+4,Question: What is 20 + 24? Answer:
69,36,105,95,9+6,Question: What is 69 + 36? Answer:
53,65,118,128,3+5,Question: What is 53 + 65? Answer:
42,75,117,127,2+5,Question: What is 42 + 75? Answer:
22,22,44,54,2+2,Question: What is 22 + 22? Answer:
60,24,84,94,0+4,Question: What is 60 + 24? Answer:
81,57,138,148,1+7,Question: What is 81 + 57? Answer:
74,35,109,119,4+5,Question: What is 74 + 35? Answer:
24,64,88,98,4+4,Question: What is 24 + 64? Answer:
27,67,94,84,7+7,Question: What is 27 + 67? Answer:
42,81,123,133,2+1,Question: What is 42 + 81? Answer:
41,94,135,145,1+4,Question: What is 41 + 94? Answer:
77,42,119,129,7+2,Question: What is 77 + 42? Answer:
38,98,136,126,8+8,Question: What is 38 + 98? Answer:
15,75,90,80,5+5,Question: What is 15 + 75? Answer:
58,19,77,67,8+9,Question: What is 58 + 19? Answer:
35,44,79,89,5+4,Question: What is 35 + 44? Answer:
42,76,118,128,2+6,Question: What is 42 + 76? Answer:
27,23,50,40,7+3,Question: What is 27 + 23? Answer:
11,31,42,52,1+1,Question: What is 11 + 31? Answer:
41,67,108,118,1+7,Question: What is 41 + 67? Answer:
24,78,102,92,4+8,Question: What is 24 + 78? Answer:
52,65,117,127,2+5,Question: What is 52 + 65? Answer:
41,78,119,129,1+8,Question: What is 41 + 78? Answer:
87,56,143,133,7+6,Question: What is 87 + 56? Answer:
34,24,58,68,4+4,Question: What is 34 + 24? Answer:
49,84,133,123,9+4,Question: What is 49 + 84? Answer:
48,71,119,129,8+1,Question: What is 48 + 71? Answer:
75,87,162,152,5+7,Question: What is 75 + 87? Answer:
19,26,45,35,9+6,Question: What is 19 + 26? Answer:
61,12,73,83,1+2,Question: What is 61 + 12? Answer:
69,70,139,149,9+0,Question: What is 69 + 70? Answer:
12,40,52,62,2+0,Question: What is 12 + 40? Answer:
78,62,140,130,8+2,Question: What is 78 + 62? Answer:
61,52,113,123,1+2,Question: What is 61 + 52? Answer:
85,40,125,135,5+0,Question: What is 85 + 40? Answer:
84,99,183,173,4+9,Question: What is 84 + 99? Answer:
73,27,100,90,3+7,Question: What is 73 + 27? Answer:
40,25,65,75,0+5,Question: What is 40 + 25? Answer:
50,67,117,127,0+7,Question: What is 50 + 67? Answer:
33,54,87,97,3+4,Question: What is 33 + 54? Answer:
39,73,112,102,9+3,Question: What is 39 + 73? Answer:
52,46,98,108,2+6,Question: What is 52 + 46? Answer:
72,30,102,112,2+0,Question: What is 72 + 30? Answer:
59,65,124,114,9+5,Question: What is 59 + 65? Answer:
