Quantity,ContextObject,Answer,DistractorAnswer,sentence
time,drum beat,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a drum beat, researchers write it in the unit named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a grain of sand is called the """
temperature,light bulb filament,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a light bulb filament is called the """
time,echo delay,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a echo delay's time is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a chemical reaction, researchers write it in the unit named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving grain of sand is named """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a elastic band recoil's force is named """
temperature,comet tail,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a comet tail, scientists use the unit named """
energy,burning match,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a burning match, scientists use the unit named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a nuclear fission, scientists use the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a bullet impact, the result is expressed in the unit named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a magnetic repulsion, scientists use the unit named """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a blink of an eye's time is named """
temperature,forest fire,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving forest fire is named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a shipping container is called the """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a flywheel spin is named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a coal burning, they should use the unit named """
temperature,molten copper,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving molten copper is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a truck, they should use the unit named """
temperature,fusion reactor,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a fusion reactor's temperature is named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a lightning flash, scientists use the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a bullet impact's force is named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a camera shutter is called the """
temperature,campfire,['kelvin'],joules,"Fact: When recording the typical temperature associated with a campfire, researchers write it in the unit named """
temperature,stars core,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving stars core is named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given backpack, the standard unit of choice is """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given wind turbine, the standard unit of choice is """
time,drum beat,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a drum beat, the result is expressed in the unit named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a flywheel spin, the result is expressed in the unit named """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a rocket engine is """
force,wind gust,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a wind gust, scientists use the unit named """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a elephant is named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a tug of war is named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given gold bar, the standard unit of choice is """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a elephant, the result is expressed in the unit named """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a hammer strike is called the """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a rocket engine, researchers write it in the unit named """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a steam turbine, scientists use the unit named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a weightlifter push, scientists use the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a hourglass run, they should use the unit named """
force,car crash,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving car crash is named """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a sound wave cycle, they should use the unit named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a shutter speed, scientists use the unit named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a grain of sand, scientists use the unit named """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a brick, researchers write it in the unit named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given tug of war, the standard unit of choice is """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a lightning bolt is called the """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a magnets pull, scientists use the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a water jet, scientists use the unit named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a weightlifter push, researchers write it in the unit named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given shipping container, the standard unit of choice is """
temperature,boiling water,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a boiling water, the result is expressed in the unit named """
time,heartbeat,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a heartbeat, the result is expressed in the unit named """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a suitcase, the result is expressed in the unit named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given gasoline combustion, the standard unit of choice is """
temperature,forest fire,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a forest fire, they should use the unit named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a grain of sand, researchers write it in the unit named """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given feather, the standard unit of choice is """
temperature,antarctic ice,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a antarctic ice is named """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving bowling ball is named """
temperature,antarctic ice,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a antarctic ice is """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a food calorie, the result is expressed in the unit named """
temperature,antarctic ice,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a antarctic ice, scientists use the unit named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a truck, researchers write it in the unit named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a aircraft carrier is named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a stopwatch is """
time,heartbeat,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving heartbeat is named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a exploding firework is """
force,wind gust,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a wind gust, researchers write it in the unit named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a earthquake tremor, scientists use the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving hourglass run is named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a magnetic repulsion's force is named """
time,drum beat,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a drum beat is named """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a hydraulic press is named """
time,countdown,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a countdown, researchers write it in the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a engine thrust is called the """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a exploding firework's energy is named """
temperature,molten copper,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a molten copper is """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a gold bar, researchers write it in the unit named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a truck's mass is named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a shutter speed is """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given bow string tension, the standard unit of choice is """
temperature,human body,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a human body is called the """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a bowling ball, researchers write it in the unit named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a radioactive decay half-life is named """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given compressed spring, the standard unit of choice is """
temperature,superconductor,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a superconductor is called the """
temperature,molten copper,['kelvin'],joules,"Fact: When recording the typical temperature associated with a molten copper, researchers write it in the unit named """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a blink of an eye is """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a elastic band recoil is """
temperature,volcanic vent,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a volcanic vent, they should use the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a friction drag's force is named """
temperature,molten lava,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a molten lava, the result is expressed in the unit named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving earthquake tremor is named """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given bowling ball, the standard unit of choice is """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a magnetic repulsion is """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a lightning bolt's energy is named """
temperature,deep space,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given deep space, the standard unit of choice is """
temperature,campfire,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given campfire, the standard unit of choice is """
time,match burn,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a match burn is named """
